      Step     Time          Energy         fmax
BFGS:    0 11:53:26       13.101199       46.6944
BFGS:    1 11:53:26        9.907697       36.0151
BFGS:    2 11:53:26        7.446483       32.2752
BFGS:    3 11:53:26        5.604944       27.9000
BFGS:    4 11:53:26        3.894122       23.2568
BFGS:    5 11:53:26        2.405228       19.8206
BFGS:    6 11:53:26        1.329848       16.8802
BFGS:    7 11:53:26        0.351443       14.4151
BFGS:    8 11:53:26       -0.438474       12.2448
BFGS:    9 11:53:26       -1.115346       10.3534
BFGS:   10 11:53:26       -1.689342        8.6823
BFGS:   11 11:53:26       -2.176020        7.2016
BFGS:   12 11:53:26       -2.585769        5.8879
BFGS:   13 11:53:26       -2.925983        4.7237
BFGS:   14 11:53:26       -3.201780        3.6952
BFGS:   15 11:53:26       -3.416740        2.7912
BFGS:   16 11:53:26       -3.574245        2.0024
BFGS:   17 11:53:26       -3.680238        1.3211
BFGS:   18 11:53:26       -3.747293        1.1276
BFGS:   19 11:53:26       -3.795035        1.0017
BFGS:   20 11:53:26       -3.829990        0.7028
BFGS:   21 11:53:26       -3.853922        0.3929
BFGS:   22 11:53:26       -3.866282        0.3160
BFGS:   23 11:53:26       -3.876509        0.3376
BFGS:   24 11:53:26       -3.884937        0.4128
BFGS:   25 11:53:26       -3.893575        0.4316
BFGS:   26 11:53:26       -3.904552        0.3902
BFGS:   27 11:53:26       -3.915088        0.3211
BFGS:   28 11:53:26       -3.925737        0.2668
BFGS:   29 11:53:26       -3.935661        0.3072
BFGS:   30 11:53:26       -3.944311        0.3546
BFGS:   31 11:53:26       -3.952725        0.4021
BFGS:   32 11:53:26       -3.961630        0.4476
BFGS:   33 11:53:26       -3.970995        0.4902
BFGS:   34 11:53:26       -3.987371        0.5237
BFGS:   35 11:53:26       -4.003735        0.5527
BFGS:   36 11:53:26       -4.019881        0.5736
BFGS:   37 11:53:26       -4.038717        0.5804
BFGS:   38 11:53:26       -4.064319        0.5936
BFGS:   39 11:53:26       -4.095560        0.6276
BFGS:   40 11:53:26       -4.133839        0.5957
BFGS:   41 11:53:26       -4.177699        0.4833
BFGS:   42 11:53:26       -4.212053        0.3853
BFGS:   43 11:53:26       -4.233911        0.3906
BFGS:   44 11:53:26       -4.245943        0.3874
BFGS:   45 11:53:26       -4.253827        0.3569
BFGS:   46 11:53:26       -4.272906        0.2512
BFGS:   47 11:53:26       -4.280890        0.1846
BFGS:   48 11:53:26       -4.284006        0.1075
BFGS:   49 11:53:26       -4.284782        0.0916
BFGS:   50 11:53:26       -4.285226        0.0939
BFGS:   51 11:53:26       -4.285879        0.0716
BFGS:   52 11:53:26       -4.286623        0.0568
BFGS:   53 11:53:26       -4.286931        0.0511
BFGS:   54 11:53:26       -4.287154        0.0566
BFGS:   55 11:53:26       -4.287479        0.0782
BFGS:   56 11:53:26       -4.288068        0.0996
BFGS:   57 11:53:26       -4.288841        0.1092
BFGS:   58 11:53:26       -4.289601        0.1375
BFGS:   59 11:53:26       -4.290253        0.1501
BFGS:   60 11:53:26       -4.291140        0.1479
BFGS:   61 11:53:26       -4.293376        0.1605
BFGS:   62 11:53:26       -4.296546        0.2201
