Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -329.5656    -332.6203       3.0547   323.7
0.0010        -329.5642    -332.5812       3.0170   319.7
0.0015        -329.5615    -332.5264       2.9649   314.2
0.0020        -329.5587    -332.4865       2.9278   310.3
0.0025        -329.5557    -332.4920       2.9362   311.2
0.0030        -329.5535    -332.5663       3.0128   319.3
0.0035        -329.5527    -332.7139       3.1612   335.0
0.0040        -329.5528    -332.9158       3.3630   356.4
0.0045        -329.5526    -333.1359       3.5832   379.7
0.0050        -329.5530    -333.3346       3.7816   400.8
0.0055        -329.5524    -333.4757       3.9232   415.8
0.0060        -329.5517    -333.5441       3.9924   423.1
0.0065        -329.5513    -333.5451       3.9938   423.2
0.0070        -329.5507    -333.4991       3.9484   418.4
0.0075        -329.5516    -333.4409       3.8893   412.2
0.0080        -329.5541    -333.4001       3.8460   407.6
0.0085        -329.5589    -333.3941       3.8352   406.4
0.0090        -329.5649    -333.4224       3.8576   408.8
0.0095        -329.5724    -333.4703       3.8978   413.1
0.0100        -329.5809    -333.5162       3.9353   417.0
0.0105        -329.5901    -333.5428       3.9528   418.9
0.0110        -329.5996    -333.5390       3.9395   417.5
0.0115        -329.6093    -333.5041       3.8948   412.8
0.0120        -329.6198    -333.4473       3.8275   405.6
0.0125        -329.6308    -333.3793       3.7485   397.3
0.0130        -329.6423    -333.3125       3.6701   389.0
0.0135        -329.6546    -333.2590       3.6045   382.0
0.0140        -329.6677    -333.2262       3.5585   377.1
0.0145        -329.6812    -333.2134       3.5321   374.3
0.0150        -329.6953    -333.2164       3.5211   373.2
0.0155        -329.7099    -333.2257       3.5158   372.6
0.0160        -329.7246    -333.2266       3.5020   371.1
0.0165        -329.7388    -333.2075       3.4687   367.6
0.0170        -329.7528    -333.1652       3.4124   361.6
0.0175        -329.7663    -333.1040       3.3377   353.7
0.0180        -329.7798    -333.0338       3.2540   344.8
0.0185        -329.7926    -332.9647       3.1721   336.2
0.0190        -329.8056    -332.9060       3.1004   328.6
0.0195        -329.8184    -332.8589       3.0405   322.2
0.0200        -329.8304    -332.8216       2.9912   317.0
0.0205        -329.8417    -332.7951       2.9534   313.0
0.0210        -329.8519    -332.7854       2.9334   310.9
0.0215        -329.8630    -332.8024       2.9394   311.5
0.0220        -329.8742    -332.8471       2.9729   315.1
0.0225        -329.8855    -332.9139       3.0284   320.9
0.0230        -329.8969    -332.9931       3.0962   328.1
0.0235        -329.9081    -333.0731       3.1650   335.4
0.0240        -329.9193    -333.1450       3.2257   341.8
0.0245        -329.9301    -333.2047       3.2746   347.0
0.0250        -329.9405    -333.2574       3.3169   351.5
0.0255        -329.9513    -333.3139       3.3626   356.4
0.0260        -329.9626    -333.3834       3.4208   362.5
0.0265        -329.9751    -333.4699       3.4947   370.4
0.0270        -329.9889    -333.5669       3.5779   379.2
0.0275        -330.0040    -333.6572       3.6532   387.2
0.0280        -330.0189    -333.7188       3.6999   392.1
0.0285        -330.0343    -333.7369       3.7026   392.4
0.0290        -330.0488    -333.7058       3.6570   387.6
0.0295        -330.0635    -333.6377       3.5742   378.8
0.0300        -330.0776    -333.5528       3.4752   368.3
0.0305        -330.0914    -333.4781       3.3867   358.9
0.0310        -330.1059    -333.4398       3.3339   353.3
0.0315        -330.1216    -333.4499       3.3283   352.7
0.0320        -330.1385    -333.5025       3.3640   356.5
0.0325        -330.1561    -333.5762       3.4200   362.4
0.0330        -330.1737    -333.6427       3.4691   367.6
0.0335        -330.1914    -333.6795       3.4880   369.7
0.0340        -330.2078    -333.6748       3.4669   367.4
0.0345        -330.2239    -333.6366       3.4126   361.7
0.0350        -330.2394    -333.5834       3.3440   354.4
0.0355        -330.2554    -333.5394       3.2840   348.0
0.0360        -330.2717    -333.5213       3.2496   344.4
0.0365        -330.2885    -333.5343       3.2458   344.0
0.0370        -330.3059    -333.5723       3.2664   346.2
0.0375        -330.3238    -333.6210       3.2972   349.4
0.0380        -330.3416    -333.6654       3.3238   352.2
0.0385        -330.3590    -333.6951       3.3361   353.5
0.0390        -330.3768    -333.7040       3.3273   352.6
0.0395        -330.3941    -333.6879       3.2938   349.1
0.0400        -330.4110    -333.6446       3.2336   342.7
0.0405        -330.4274    -333.5755       3.1481   333.6
0.0410        -330.4420    -333.4898       3.0478   323.0
0.0415        -330.4557    -333.4093       2.9536   313.0
0.0420        -330.4690    -333.3589       2.8899   306.3
0.0425        -330.4830    -333.3547       2.8718   304.3
0.0430        -330.4980    -333.3931       2.8951   306.8
0.0435        -330.5132    -333.4509       2.9376   311.3
0.0440        -330.5272    -333.4997       2.9725   315.0
0.0445        -330.5400    -333.5250       2.9850   316.3
0.0450        -330.5516    -333.5297       2.9781   315.6
0.0455        -330.5633    -333.5284       2.9650   314.2
0.0460        -330.5750    -333.5322       2.9572   313.4
0.0465        -330.5869    -333.5447       2.9579   313.5
0.0470        -330.5983    -333.5621       2.9638   314.1
0.0475        -330.6093    -333.5805       2.9712   314.9
0.0480        -330.6193    -333.6010       2.9818   316.0
0.0485        -330.6291    -333.6325       3.0035   318.3
0.0490        -330.6392    -333.6827       3.0435   322.5
0.0495        -330.6502    -333.7504       3.1002   328.6
0.0500        -330.6617    -333.8223       3.1606   335.0
0.0505        -330.6730    -333.8794       3.2063   339.8
0.0510        -330.6833    -333.9051       3.2218   341.4
0.0515        -330.6927    -333.8946       3.2019   339.3
0.0520        -330.7013    -333.8568       3.1555   334.4
0.0525        -330.7102    -333.8098       3.0996   328.5
0.0530        -330.7188    -333.7667       3.0479   323.0
0.0535        -330.7277    -333.7346       3.0068   318.7
0.0540        -330.7360    -333.7141       2.9780   315.6
0.0545        -330.7442    -333.7073       2.9631   314.0
0.0550        -330.7522    -333.7167       2.9644   314.2
0.0555        -330.7600    -333.7410       2.9810   315.9
0.0560        -330.7679    -333.7748       3.0069   318.7
0.0565        -330.7758    -333.8079       3.0321   321.3
0.0570        -330.7829    -333.8285       3.0456   322.8
0.0575        -330.7891    -333.8312       3.0420   322.4
0.0580        -330.7948    -333.8198       3.0250   320.6
0.0585        -330.8000    -333.8046       3.0046   318.4
0.0590        -330.8052    -333.7984       2.9932   317.2
0.0595        -330.8100    -333.8107       3.0007   318.0
0.0600        -330.8153    -333.8475       3.0322   321.3
0.0605        -330.8214    -333.9046       3.0831   326.7
0.0610        -330.8275    -333.9648       3.1373   332.5
0.0615        -330.8332    -334.0089       3.1757   336.6
0.0620        -330.8378    -334.0227       3.1849   337.5
0.0625        -330.8417    -334.0043       3.1627   335.2
0.0630        -330.8449    -333.9657       3.1208   330.7
0.0635        -330.8481    -333.9250       3.0769   326.1
0.0640        -330.8514    -333.8973       3.0459   322.8
0.0645        -330.8547    -333.8924       3.0377   321.9
0.0650        -330.8585    -333.9139       3.0554   323.8
0.0655        -330.8622    -333.9582       3.0960   328.1
0.0660        -330.8659    -334.0166       3.1508   333.9
0.0665        -330.8691    -334.0781       3.2090   340.1
0.0670        -330.8723    -334.1361       3.2639   345.9
0.0675        -330.8749    -334.1893       3.3144   351.2
0.0680        -330.8779    -334.2421       3.3643   356.5
0.0685        -330.8810    -334.2989       3.4179   362.2
0.0690        -330.8846    -334.3616       3.4770   368.5
0.0695        -330.8889    -334.4289       3.5400   375.2
0.0700        -330.8935    -334.4963       3.6028   381.8
0.0705        -330.8985    -334.5597       3.6612   388.0
0.0710        -330.9040    -334.6154       3.7114   393.3
0.0715        -330.9110    -334.6606       3.7496   397.4
0.0720        -330.9184    -334.6882       3.7698   399.5
0.0725        -330.9268    -334.6897       3.7629   398.8
0.0730        -330.9352    -334.6581       3.7229   394.5
0.0735        -330.9438    -334.5932       3.6494   386.8
0.0740        -330.9518    -334.5051       3.5533   376.6
0.0745        -330.9598    -334.4131       3.4533   366.0
0.0750        -330.9684    -334.3383       3.3699   357.1
0.0755        -330.9779    -334.2952       3.3173   351.6
0.0760        -330.9884    -334.2827       3.2943   349.1
0.0765        -330.9989    -334.2850       3.2861   348.3
0.0770        -331.0090    -334.2831       3.2741   347.0
0.0775        -331.0183    -334.2650       3.2467   344.1
0.0780        -331.0272    -334.2321       3.2049   339.7
0.0785        -331.0358    -334.1928       3.1570   334.6
0.0790        -331.0442    -334.1548       3.1106   329.7
0.0795        -331.0531    -334.1222       3.0690   325.2
0.0800        -331.0613    -334.0919       3.0306   321.2
0.0805        -331.0689    -334.0637       2.9948   317.4
0.0810        -331.0758    -334.0431       2.9673   314.5
0.0815        -331.0825    -334.0382       2.9557   313.2
0.0820        -331.0898    -334.0517       2.9618   313.9
0.0825        -331.0978    -334.0739       2.9760   315.4
0.0830        -331.1052    -334.0839       2.9787   315.7
0.0835        -331.1117    -334.0608       2.9491   312.5
0.0840        -331.1162    -333.9957       2.8795   305.2
0.0845        -331.1196    -333.9006       2.7810   294.7
0.0850        -331.1223    -333.7999       2.6776   283.8
0.0855        -331.1247    -333.7187       2.5940   274.9
0.0860        -331.1269    -333.6749       2.5480   270.0
0.0865        -331.1291    -333.6759       2.5468   269.9
0.0870        -331.1314    -333.7176       2.5862   274.1
0.0875        -331.1329    -333.7859       2.6530   281.2
0.0880        -331.1338    -333.8653       2.7315   289.5
0.0885        -331.1339    -333.9416       2.8077   297.6
0.0890        -331.1335    -334.0051       2.8717   304.3
0.0895        -331.1321    -334.0512       2.9191   309.4
0.0900        -331.1300    -334.0807       2.9507   312.7
0.0905        -331.1273    -334.0986       2.9713   314.9
0.0910        -331.1237    -334.1143       2.9906   316.9
0.0915        -331.1203    -334.1420       3.0217   320.2
0.0920        -331.1174    -334.1892       3.0717   325.5
0.0925        -331.1150    -334.2502       3.1352   332.3
0.0930        -331.1129    -334.3065       3.1936   338.4
