# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [1e-05, 0, 0]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000    -2.2688690474e-04    -0.0000000000e+00    -0.0000000000e+00
    0.100000    -8.5955805481e-04    -0.0000000000e+00    -0.0000000000e+00
    0.150000    -1.7691243921e-03    -0.0000000000e+00    -0.0000000000e+00
    0.200000    -2.7848241931e-03    -0.0000000000e+00    -0.0000000000e+00
    0.250000    -3.7414978469e-03    -0.0000000000e+00    -0.0000000000e+00
    0.300000    -4.5182552698e-03    -0.0000000000e+00    -0.0000000000e+00
    0.350000    -5.0568991136e-03    -0.0000000000e+00    -0.0000000000e+00
    0.400000    -5.3581563069e-03    -0.0000000000e+00    -0.0000000000e+00
    0.450000    -5.4618154363e-03    -0.0000000000e+00    -0.0000000000e+00
    0.500000    -5.4201490092e-03    -0.0000000000e+00    -0.0000000000e+00
    0.550000    -5.2723893698e-03    -0.0000000000e+00    -0.0000000000e+00
    0.600000    -5.0239190473e-03    -0.0000000000e+00    -0.0000000000e+00
    0.650000    -4.6303419149e-03    -0.0000000000e+00    -0.0000000000e+00
    0.700000    -3.9858749918e-03    -0.0000000000e+00    -0.0000000000e+00
    0.750000    -2.9178711427e-03    -0.0000000000e+00    -0.0000000000e+00
    0.800000    -1.1931485212e-03    -0.0000000000e+00    -0.0000000000e+00
    0.850000     1.4559436044e-03    -0.0000000000e+00    -0.0000000000e+00
    0.900000     5.2807438306e-03    -0.0000000000e+00    -0.0000000000e+00
    0.950000     1.0446207199e-02    -0.0000000000e+00    -0.0000000000e+00
    1.000000     1.6963382796e-02    -0.0000000000e+00    -0.0000000000e+00
    1.050000     2.4662024220e-02    -0.0000000000e+00    -0.0000000000e+00
    1.100000     3.3245186972e-02    -0.0000000000e+00    -0.0000000000e+00
    1.150000     4.2450274114e-02    -0.0000000000e+00    -0.0000000000e+00
    1.200000     5.2299285772e-02    -0.0000000000e+00    -0.0000000000e+00
    1.250000     6.3365210666e-02    -0.0000000000e+00    -0.0000000000e+00
    1.300000     7.6934258953e-02    -0.0000000000e+00    -0.0000000000e+00
    1.350000     9.4932627963e-02    -0.0000000000e+00    -0.0000000000e+00
    1.400000     1.1953202849e-01    -0.0000000000e+00    -0.0000000000e+00
    1.450000     1.5245116214e-01    -0.0000000000e+00    -0.0000000000e+00
    1.500000     1.9410546306e-01    -0.0000000000e+00    -0.0000000000e+00
    1.550000     2.4287582907e-01    -0.0000000000e+00    -0.0000000000e+00
    1.600000     2.9481040086e-01    -0.0000000000e+00    -0.0000000000e+00
    1.650000     3.4399866979e-01    -0.0000000000e+00    -0.0000000000e+00
    1.700000     3.8366475825e-01    -0.0000000000e+00    -0.0000000000e+00
    1.750000     4.0777664292e-01    -0.0000000000e+00    -0.0000000000e+00
    1.800000     4.1276718104e-01    -0.0000000000e+00    -0.0000000000e+00
    1.850000     3.9891848342e-01    -0.0000000000e+00    -0.0000000000e+00
    1.900000     3.7112034697e-01    -0.0000000000e+00    -0.0000000000e+00
    1.950000     3.3902141753e-01    -0.0000000000e+00    -0.0000000000e+00
    2.000000     3.1690071654e-01     0.0000000000e+00    -0.0000000000e+00
    2.050000     3.2371591176e-01     0.0000000000e+00    -0.0000000000e+00
    2.100000     3.8360175405e-01     0.0000000000e+00    -0.0000000000e+00
    2.150000     5.2658685927e-01     0.0000000000e+00    -0.0000000000e+00
    2.200000     7.8861766118e-01     0.0000000000e+00    -0.0000000000e+00
    2.250000     1.2094281513e+00     0.0000000000e+00    -0.0000000000e+00
    2.300000     1.8267705110e+00     0.0000000000e+00    -0.0000000000e+00
    2.350000     2.6663705702e+00     0.0000000000e+00     0.0000000000e+00
    2.400000     3.7287543459e+00     0.0000000000e+00     0.0000000000e+00
    2.450000     4.9763554959e+00     0.0000000000e+00     0.0000000000e+00
    2.500000     6.3260573040e+00     0.0000000000e+00     0.0000000000e+00
    2.550000     7.6523324159e+00     0.0000000000e+00     0.0000000000e+00
    2.600000     8.8036697931e+00     0.0000000000e+00     0.0000000000e+00
    2.650000     9.6304169808e+00     0.0000000000e+00     0.0000000000e+00
    2.700000     1.0017224412e+01     0.0000000000e+00     0.0000000000e+00
    2.750000     9.9103187826e+00     0.0000000000e+00     0.0000000000e+00
    2.800000     9.3306142910e+00     0.0000000000e+00     0.0000000000e+00
    2.850000     8.3682333700e+00     0.0000000000e+00     0.0000000000e+00
    2.900000     7.1604684376e+00     0.0000000000e+00     0.0000000000e+00
    2.950000     5.8607049194e+00     0.0000000000e+00     0.0000000000e+00
    3.000000     4.6080289676e+00     0.0000000000e+00     0.0000000000e+00
    3.050000     3.5055777202e+00     0.0000000000e+00     0.0000000000e+00
    3.100000     2.6114247033e+00     0.0000000000e+00     0.0000000000e+00
    3.150000     1.9411454863e+00     0.0000000000e+00     0.0000000000e+00
    3.200000     1.4780830882e+00     0.0000000000e+00     0.0000000000e+00
    3.250000     1.1864806380e+00     0.0000000000e+00     0.0000000000e+00
    3.300000     1.0236289464e+00    -0.0000000000e+00     0.0000000000e+00
    3.350000     9.4893260315e-01    -0.0000000000e+00     0.0000000000e+00
    3.400000     9.2936664905e-01    -0.0000000000e+00     0.0000000000e+00
    3.450000     9.4172086298e-01    -0.0000000000e+00     0.0000000000e+00
    3.500000     9.7235932432e-01    -0.0000000000e+00     0.0000000000e+00
    3.550000     1.0152482335e+00    -0.0000000000e+00     0.0000000000e+00
    3.600000     1.0689761595e+00     0.0000000000e+00     0.0000000000e+00
    3.650000     1.1334936229e+00     0.0000000000e+00     0.0000000000e+00
    3.700000     1.2072860675e+00     0.0000000000e+00     0.0000000000e+00
    3.750000     1.2855869446e+00     0.0000000000e+00     0.0000000000e+00
    3.800000     1.3600010841e+00     0.0000000000e+00     0.0000000000e+00
    3.850000     1.4195699598e+00     0.0000000000e+00     0.0000000000e+00
    3.900000     1.4529419717e+00     0.0000000000e+00     0.0000000000e+00
    3.950000     1.4510077355e+00     0.0000000000e+00     0.0000000000e+00
    4.000000     1.4092198981e+00     0.0000000000e+00     0.0000000000e+00
    4.050000     1.3289056201e+00     0.0000000000e+00     0.0000000000e+00
    4.100000     1.2171912269e+00     0.0000000000e+00     0.0000000000e+00
    4.150000     1.0855922305e+00     0.0000000000e+00     0.0000000000e+00
    4.200000     9.4771447245e-01     0.0000000000e+00     0.0000000000e+00
    4.250000     8.1671600317e-01     0.0000000000e+00     0.0000000000e+00
    4.300000     7.0314197660e-01     0.0000000000e+00     0.0000000000e+00
    4.350000     6.1353095065e-01     0.0000000000e+00     0.0000000000e+00
    4.400000     5.4993030793e-01     0.0000000000e+00     0.0000000000e+00
    4.450000     5.1025914307e-01     0.0000000000e+00     0.0000000000e+00
    4.500000     4.8934822805e-01     0.0000000000e+00     0.0000000000e+00
    4.550000     4.8042908702e-01     0.0000000000e+00     0.0000000000e+00
    4.600000     4.7678885344e-01     0.0000000000e+00     0.0000000000e+00
    4.650000     4.7325095571e-01    -0.0000000000e+00     0.0000000000e+00
