# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 1e-05, 0]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000    -0.0000000000e+00    -2.1254592836e-05    -0.0000000000e+00
    0.100000    -0.0000000000e+00    -8.0670866448e-05    -0.0000000000e+00
    0.150000    -0.0000000000e+00    -1.6651762710e-04    -0.0000000000e+00
    0.200000    -0.0000000000e+00    -2.6308443244e-04    -0.0000000000e+00
    0.250000    -0.0000000000e+00    -3.5484616666e-04    -0.0000000000e+00
    0.300000    -0.0000000000e+00    -4.2986035766e-04    -0.0000000000e+00
    0.350000    -0.0000000000e+00    -4.8127377253e-04     0.0000000000e+00
    0.400000    -0.0000000000e+00    -5.0647905589e-04     0.0000000000e+00
    0.450000    -0.0000000000e+00    -5.0395897984e-04     0.0000000000e+00
    0.500000    -0.0000000000e+00    -4.6794090005e-04     0.0000000000e+00
    0.550000    -0.0000000000e+00    -3.8075308702e-04     0.0000000000e+00
    0.600000    -0.0000000000e+00    -2.0265252145e-04     0.0000000000e+00
    0.650000    -0.0000000000e+00     1.4052534806e-04     0.0000000000e+00
    0.700000    -0.0000000000e+00     7.6979293241e-04     0.0000000000e+00
    0.750000    -0.0000000000e+00     1.8605807042e-03     0.0000000000e+00
    0.800000    -0.0000000000e+00     3.6377249407e-03     0.0000000000e+00
    0.850000    -0.0000000000e+00     6.3496776008e-03     0.0000000000e+00
    0.900000    -0.0000000000e+00     1.0218389033e-02     0.0000000000e+00
    0.950000    -0.0000000000e+00     1.5372606061e-02     0.0000000000e+00
    1.000000     0.0000000000e+00     2.1788235301e-02     0.0000000000e+00
    1.050000     0.0000000000e+00     2.9273052204e-02     0.0000000000e+00
    1.100000     0.0000000000e+00     3.7534144942e-02     0.0000000000e+00
    1.150000     0.0000000000e+00     4.6346373931e-02     0.0000000000e+00
    1.200000     0.0000000000e+00     5.5798125351e-02     0.0000000000e+00
    1.250000     0.0000000000e+00     6.6538300949e-02     0.0000000000e+00
    1.300000     0.0000000000e+00     7.9908075577e-02     0.0000000000e+00
    1.350000    -0.0000000000e+00     9.7837485903e-02     0.0000000000e+00
    1.400000    -0.0000000000e+00     1.2243674405e-01     0.0000000000e+00
    1.450000    -0.0000000000e+00     1.5531281904e-01     0.0000000000e+00
    1.500000    -0.0000000000e+00     1.9676723540e-01     0.0000000000e+00
    1.550000    -0.0000000000e+00     2.4513505065e-01     0.0000000000e+00
    1.600000    -0.0000000000e+00     2.9655481577e-01     0.0000000000e+00
    1.650000    -0.0000000000e+00     3.4537841100e-01     0.0000000000e+00
    1.700000    -0.0000000000e+00     3.8524306769e-01     0.0000000000e+00
    1.750000    -0.0000000000e+00     4.1059607261e-01     0.0000000000e+00
    1.800000    -0.0000000000e+00     4.1828734891e-01     0.0000000000e+00
    1.850000    -0.0000000000e+00     4.0882393561e-01     0.0000000000e+00
    1.900000    -0.0000000000e+00     3.8704870093e-01     0.0000000000e+00
    1.950000    -0.0000000000e+00     3.6230043624e-01     0.0000000000e+00
    2.000000     0.0000000000e+00     3.4838624020e-01     0.0000000000e+00
    2.050000     0.0000000000e+00     3.6378038081e-01     0.0000000000e+00
    2.100000     0.0000000000e+00     4.3224649582e-01     0.0000000000e+00
    2.150000     0.0000000000e+00     5.8357416110e-01     0.0000000000e+00
    2.200000     0.0000000000e+00     8.5348590682e-01     0.0000000000e+00
    2.250000     0.0000000000e+00     1.2812982049e+00     0.0000000000e+00
    2.300000     0.0000000000e+00     1.9039708101e+00     0.0000000000e+00
    2.350000     0.0000000000e+00     2.7460513986e+00     0.0000000000e+00
