# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 0, 1e-05]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000    -0.0000000000e+00     0.0000000000e+00    -4.5016296704e-04
    0.100000    -0.0000000000e+00     0.0000000000e+00    -1.7051333710e-03
    0.150000    -0.0000000000e+00     0.0000000000e+00    -3.5084817079e-03
    0.200000    -0.0000000000e+00     0.0000000000e+00    -5.5207941194e-03
    0.250000    -0.0000000000e+00     0.0000000000e+00    -7.4143708450e-03
    0.300000    -0.0000000000e+00     0.0000000000e+00    -8.9502761533e-03
    0.350000    -0.0000000000e+00     0.0000000000e+00    -1.0015208628e-02
    0.400000    -0.0000000000e+00     0.0000000000e+00    -1.0614979841e-02
    0.450000    -0.0000000000e+00     0.0000000000e+00    -1.0837855461e-02
    0.500000    -0.0000000000e+00     0.0000000000e+00    -1.0807934190e-02
    0.550000    -0.0000000000e+00     0.0000000000e+00    -1.0645720492e-02
    0.600000    -0.0000000000e+00     0.0000000000e+00    -1.0444490939e-02
    0.650000    -0.0000000000e+00     0.0000000000e+00    -1.0262471678e-02
    0.700000    -0.0000000000e+00     0.0000000000e+00    -1.0125754958e-02
    0.750000    -0.0000000000e+00     0.0000000000e+00    -1.0035854677e-02
    0.800000    -0.0000000000e+00     0.0000000000e+00    -9.9773752056e-03
    0.850000    -0.0000000000e+00     0.0000000000e+00    -9.9235230910e-03
    0.900000    -0.0000000000e+00     0.0000000000e+00    -9.8388694830e-03
    0.950000    -0.0000000000e+00     0.0000000000e+00    -9.6795878710e-03
    1.000000    -0.0000000000e+00     0.0000000000e+00    -9.3917354191e-03
    1.050000    -0.0000000000e+00     0.0000000000e+00    -8.9085384949e-03
    1.100000    -0.0000000000e+00     0.0000000000e+00    -8.1482214889e-03
    1.150000    -0.0000000000e+00     0.0000000000e+00    -7.0140959221e-03
    1.200000    -0.0000000000e+00     0.0000000000e+00    -5.3970880849e-03
    1.250000    -0.0000000000e+00     0.0000000000e+00    -3.1761107279e-03
    1.300000    -0.0000000000e+00     0.0000000000e+00    -2.0310286463e-04
    1.350000    -0.0000000000e+00     0.0000000000e+00     3.7509580737e-03
    1.400000    -0.0000000000e+00     0.0000000000e+00     9.1197495469e-03
    1.450000     0.0000000000e+00     0.0000000000e+00     1.6760257828e-02
    1.500000     0.0000000000e+00     0.0000000000e+00     2.8264255261e-02
    1.550000     0.0000000000e+00     0.0000000000e+00     4.6306759709e-02
    1.600000     0.0000000000e+00     0.0000000000e+00     7.4905139377e-02
    1.650000     0.0000000000e+00     0.0000000000e+00     1.1940655359e-01
    1.700000     0.0000000000e+00     0.0000000000e+00     1.8603264987e-01
    1.750000    -0.0000000000e+00     0.0000000000e+00     2.8094418681e-01
